tipo	grupo	nombre	version	licencia	purl
library	-	jest-pnp-resolver	1.2.3	MIT	pkg:npm/jest-pnp-resolver@1.2.3
library	-	jest-regex-util	29.6.3	MIT	pkg:npm/jest-regex-util@29.6.3
library	-	jest-resolve	29.7.0	MIT	pkg:npm/jest-resolve@29.7.0
library	-	jest-resolve-dependencies	29.7.0	MIT	pkg:npm/jest-resolve-dependencies@29.7.0
library	-	jest-runner	29.7.0	MIT	pkg:npm/jest-runner@29.7.0
library	-	jest-runtime	29.7.0	MIT	pkg:npm/jest-runtime@29.7.0
library	-	jest-snapshot	29.7.0	MIT	pkg:npm/jest-snapshot@29.7.0
library	-	semver	7.8.5	ISC	pkg:npm/semver@7.8.5
library	-	jest-util	29.7.0	MIT	pkg:npm/jest-util@29.7.0
library	-	jest-validate	29.7.0	MIT	pkg:npm/jest-validate@29.7.0
library	-	camelcase	6.3.0	MIT	pkg:npm/camelcase@6.3.0
library	-	jest-watcher	29.7.0	MIT	pkg:npm/jest-watcher@29.7.0
library	-	jest-worker	29.7.0	MIT	pkg:npm/jest-worker@29.7.0
library	-	supports-color	8.1.1	MIT	pkg:npm/supports-color@8.1.1
library	-	js-tokens	4.0.0	MIT	pkg:npm/js-tokens@4.0.0
library	-	js-yaml	3.15.0	MIT	pkg:npm/js-yaml@3.15.0
library	-	jsesc	3.1.0	MIT	pkg:npm/jsesc@3.1.0
library	-	json-parse-even-better-errors	2.3.1	MIT	pkg:npm/json-parse-even-better-errors@2.3.1
library	-	json5	2.2.3	MIT	pkg:npm/json5@2.2.3
library	-	kleur	3.0.3	MIT	pkg:npm/kleur@3.0.3
library	-	leven	3.1.0	MIT	pkg:npm/leven@3.1.0
library	-	lines-and-columns	1.2.4	MIT	pkg:npm/lines-and-columns@1.2.4
library	-	locate-path	5.0.0	MIT	pkg:npm/locate-path@5.0.0
library	-	lru-cache	5.1.1	ISC	pkg:npm/lru-cache@5.1.1
library	-	make-dir	4.0.0	MIT	pkg:npm/make-dir@4.0.0
library	-	semver	7.8.5	ISC	pkg:npm/semver@7.8.5
library	-	makeerror	1.0.12	BSD-3-Clause	pkg:npm/makeerror@1.0.12
library	-	math-intrinsics	1.1.0	MIT	pkg:npm/math-intrinsics@1.1.0
library	-	media-typer	0.3.0	MIT	pkg:npm/media-typer@0.3.0
library	-	merge-descriptors	1.0.3	MIT	pkg:npm/merge-descriptors@1.0.3
library	-	merge-stream	2.0.0	MIT	pkg:npm/merge-stream@2.0.0
library	-	methods	1.1.2	MIT	pkg:npm/methods@1.1.2
library	-	micromatch	4.0.8	MIT	pkg:npm/micromatch@4.0.8
library	-	mime	1.6.0	MIT	pkg:npm/mime@1.6.0
library	-	mime-db	1.52.0	MIT	pkg:npm/mime-db@1.52.0
library	-	mime-types	2.1.35	MIT	pkg:npm/mime-types@2.1.35
library	-	mimic-fn	2.1.0	MIT	pkg:npm/mimic-fn@2.1.0
library	-	mimic-response	3.1.0	MIT	pkg:npm/mimic-response@3.1.0
library	-	minimatch	3.1.5	ISC	pkg:npm/minimatch@3.1.5
library	-	minimist	1.2.8	MIT	pkg:npm/minimist@1.2.8
library	-	mkdirp-classic	0.5.3	MIT	pkg:npm/mkdirp-classic@0.5.3
library	-	ms	2.0.0	MIT	pkg:npm/ms@2.0.0
library	-	napi-build-utils	2.0.0	MIT	pkg:npm/napi-build-utils@2.0.0
library	-	natural-compare	1.4.0	MIT	pkg:npm/natural-compare@1.4.0
library	-	negotiator	0.6.3	MIT	pkg:npm/negotiator@0.6.3
library	-	node-abi	3.94.0	MIT	pkg:npm/node-abi@3.94.0
library	-	semver	7.8.5	ISC	pkg:npm/semver@7.8.5
library	-	node-int64	0.4.0	MIT	pkg:npm/node-int64@0.4.0
library	-	node-releases	2.0.51	MIT	pkg:npm/node-releases@2.0.51
library	-	normalize-path	3.0.0	MIT	pkg:npm/normalize-path@3.0.0
library	-	npm-run-path	4.0.1	MIT	pkg:npm/npm-run-path@4.0.1
library	-	object-assign	4.1.1	MIT	pkg:npm/object-assign@4.1.1
library	-	object-inspect	1.13.4	MIT	pkg:npm/object-inspect@1.13.4
library	-	on-finished	2.4.1	MIT	pkg:npm/on-finished@2.4.1
library	-	once	1.4.0	ISC	pkg:npm/once@1.4.0
library	-	onetime	5.1.2	MIT	pkg:npm/onetime@5.1.2
library	-	p-limit	3.1.0	MIT	pkg:npm/p-limit@3.1.0
library	-	p-locate	4.1.0	MIT	pkg:npm/p-locate@4.1.0
library	-	p-limit	2.3.0	MIT	pkg:npm/p-limit@2.3.0
library	-	p-try	2.2.0	MIT	pkg:npm/p-try@2.2.0
library	-	parse-json	5.2.0	MIT	pkg:npm/parse-json@5.2.0
library	-	parseurl	1.3.3	MIT	pkg:npm/parseurl@1.3.3
library	-	path-exists	4.0.0	MIT	pkg:npm/path-exists@4.0.0
library	-	path-is-absolute	1.0.1	MIT	pkg:npm/path-is-absolute@1.0.1
library	-	path-key	3.1.1	MIT	pkg:npm/path-key@3.1.1
library	-	path-parse	1.0.7	MIT	pkg:npm/path-parse@1.0.7
library	-	path-to-regexp	0.1.13	MIT	pkg:npm/path-to-regexp@0.1.13
library	-	picocolors	1.1.1	ISC	pkg:npm/picocolors@1.1.1
library	-	picomatch	2.3.2	MIT	pkg:npm/picomatch@2.3.2
library	-	pirates	4.0.7	MIT	pkg:npm/pirates@4.0.7
library	-	pkg-dir	4.2.0	MIT	pkg:npm/pkg-dir@4.2.0
library	-	prebuild-install	7.1.3	MIT	pkg:npm/prebuild-install@7.1.3
